codigo_cliente;nome_cliente;idade_cliente;email_cliente
15;Hayden Velez;18;Mauris@sedduiFusce.org
3;Marcia CursoSql;19;marcia@sql.com
104;Zenia P. Velazquez;19;non@egetvolutpat.co.uk
4;Douglas Cavalcanti;20;douglas.c@itau.com.br
68;Conan X. Hodges;20;Mauris.quis.turpis@luctusaliquetodio.net
82;Merrill Brown;20;lobortis@lorem.co.uk
11;Stewart O. Simpson;22;erat@condimentumDonec.ca
24;Madeson Wallace;22;arcu@In.org
5;Erica W. Harrington;23;molestie.tortor.nibh@non.ca
17;Rae B. Fischer;24;Nulla@egetvolutpat.ca
23;Adam Hawkins;24;Cras.eu@mollis.ca
102;Jennifer Wooten;25;sem.vitae@sit.ca
